emp_id,firstname,lastname,startdate,exitdate,title,supervisor,businessunit,employeestatus,employeetype,payzone,employeeclassificationtype,terminationdescription,departmenttype,division,dob,state,jobfunctiondescription,gendercode,locationcode,racedesc,maritaldesc,performance_score,current_rating,is_active
3427,Uriah,Bridges,2019-09-20,,Production Technician I,Peter Oneill,CCDR,Active,Contract,Zone C,Temporary,Active,Production       ,Finance & Accounting,,MA,Accounting,Female,34904,White,Widowed,Fully Meets,4,True
3428,Paula,Small,2023-02-11,,Production Technician I,Renee Mccormick,EW,Active,Contract,Zone A,Part-Time,Active,Production       ,Aerial,,MA,Labor,Male,6593,Hispanic,Widowed,Fully Meets,3,True
3429,Edward,Buck,2018-12-10,,Area Sales Manager,Crystal Walker,PL,Active,Full-Time,Zone B,Part-Time,Active,Sales,General - Sga,,MA,Assistant,Male,2330,Hispanic,Widowed,Fully Meets,4,True
3430,Michael,Riordan,2021-06-21,,Area Sales Manager,Rebekah Wright,CCDR,Active,Contract,Zone A,Full-Time,Active,Sales,Finance & Accounting,,ND,Clerk,Male,58782,Other,Single,Fully Meets,2,True
3431,Jasmine,Onque,2019-06-29,,Area Sales Manager,Jason Kim,TNS,Active,Contract,Zone A,Temporary,Active,Sales,General - Con,,FL,Laborer,Female,33174,Other,Married,Fully Meets,3,True
3432,Maruk,Fraval,2020-01-17,,Area Sales Manager,Sheri Campos,BPC,Active,Contract,Zone B,Full-Time,Active,Sales,Field Operations,,CT,Driver,Male,6050,Black,Married,Fully Meets,3,True
3433,Latia,Costa,2022-04-06,2023-07-03,Area Sales Manager,Jacob Braun,WBL,Active,Full-Time,Zone B,Temporary,Me see picture nature degree benefit.,Sales,General - Eng,,CA,Technician,Female,90007,Hispanic,Divorced,Exceeds,4,False
3434,Sharlene,Terry,2020-11-06,2023-01-29,Area Sales Manager,Tracy Marquez,CCDR,Active,Contract,Zone C,Full-Time,Blue community type skill story.,Sales,Engineers,,OR,Engineer,Female,97756,White,Divorced,Fully Meets,2,False
3435,Jac,McKinzie,2018-08-18,,Area Sales Manager,Sharon Becker,NEL,Active,Contract,Zone B,Part-Time,Active,Sales,Executive,,TX,Executive Assistant,Male,78789,Black,Widowed,Exceeds,3,True
3436,Joseph,Martins,2022-01-21,2023-06-29,Area Sales Manager,George Jenkins,BPC,Active,Part-Time,Zone B,Temporary,Summer personal bag.,Sales,Engineers,,TX,Engineer,Male,78207,Asian,Widowed,Fully Meets,5,False
