applicant_id,application_date,first_name,last_name,gender,date_of_birth,city,state,zip_code,country,education_level,years_of_experience,desired_salary,job_title,status
1001,2023-06-03,Scott,Sheppard,Male,1992-08-31,Hollandfort,NV,57588,Micronesia,High School,8,60103.21,Chief Technology Officer,Interviewing
1002,2023-05-15,Stanley,Lewis,Male,1965-04-29,Port Margaretfurt,TN,14726,Greenland,Bachelor's Degree,17,64575.84,"Designer, furniture",Rejected
1003,2023-08-04,Javier,Li,Female,1973-03-10,Dianaland,TX,4699,China,PhD,20,39422.71,"Sound technician, broadcasting/film/video",Rejected
1004,2023-07-28,Christopher,Johnston,Other,2001-04-04,Youngfurt,GA,34455,Ghana,High School,8,51045.11,Air cabin crew,Rejected
1005,2023-06-05,Melissa,Hicks,Other,1978-06-17,East Ashleyborough,IN,21014,Solomon Islands,Master's Degree,0,52792.86,Art therapist,Interviewing
1006,2023-07-26,Christian,Maddox,Female,1983-06-14,Boonefort,NC,34763,Liberia,Master's Degree,18,97746.62,"Engineer, electronics",In Review
1007,2023-06-09,Paul,Hammond,Female,1963-08-16,Port Barry,GA,57472,Congo,High School,11,80119.39,"Scientist, research (maths)",Offered
1008,2023-07-15,Madison,Williamson,Male,1978-09-07,New Luisfort,VA,71682,Pitcairn Islands,Bachelor's Degree,0,41578.78,"Teacher, primary school",Offered
1009,2023-06-16,Rachael,Duran,Male,1997-09-11,Amandashire,PW,25218,Spain,High School,15,44489.6,Phytotherapist,Interviewing
1010,2023-05-25,Sherri,Taylor,Male,1983-04-24,Garrisonmouth,CA,82074,Gabon,Master's Degree,4,97363.53,"Pilot, airline",Offered
1011,2023-05-14,Jennifer,Weaver,Other,1998-10-22,Haileyville,MS,37729,Switzerland,PhD,19,39252.38,Theatre director,In Review
1012,2023-06-04,Kyle,Blake,Other,2001-03-25,East Melinda,OH,62970,China,Bachelor's Degree,7,79650.82,Corporate treasurer,Applied
1013,2023-07-23,James,Bailey,Female,1983-05-12,Hahnberg,AZ,61409,Guam,Master's Degree,12,86588.22,Accounting technician,Offered
1014,2023-06-12,Heidi,Wood,Male,1965-11-20,Christopherberg,CT,34112,Central African Republic,Bachelor's Degree,9,59082.57,Learning disability nurse,Rejected
1015,2023-07-04,Johnny,Nguyen,Other,1971-11-23,Leehaven,WV,82030,Kenya,Bachelor's Degree,2,91301.9,Web designer,Rejected
1016,2023-07-26,Olivia,Watson,Female,1970-08-09,North Ariel,NV,37858,Belize,Master's Degree,2,44515.4,"Scientist, research (physical sciences)",Interviewing
1017,2023-05-16,Anita,Jenkins,Male,2004-01-02,Tonyville,DE,54454,Morocco,Master's Degree,20,72554.88,Higher education lecturer,In Review
1018,2023-06-12,John,Coleman,Female,2005-08-01,South Andrewport,HI,22242,Poland,Bachelor's Degree,20,52923.21,"Merchandiser, retail",Offered
